Número	Animal/Objeto	Medida	L/A
890		metro	
891		metro	
892		metro	
893		metro	
894		metro	
895		metro	
896		metro	
897		metro	
898		metro	
899		metro	
900		metro	
901		metro	
902		metro	
903		metro	
904		metro	
905		metro	
906		metro	
907		metro	
908		metro	
909		metro	
910	la estatua de Abraham Lincoln	centímetro	alta
911		metro	
912		metro	
913		metro	
914		metro	
915		metro	
916		metro	
917		metro	
918		metro	
919		metro	
920		metro	
921		metro	
922		metro	
923		metro	
924		metro	
925		metro	
926		metro	
927		metro	
928		metro	
929		metro	
930		metro	
931		metro	
932		metro	
933		metro	
934		metro	
935		metro	
936		metro	
937		metro	
938		metro	
939		metro	
940	la red de metro de Seúl, la red de metro más larga del mundo	kilómetro	larga
941		metro	
942		metro	
943		metro	
944		metro	
945		metro	
946		metro	
947		metro	
948		metro	
949		metro	
950		metro	
951		metro	
952		metro	
953		metro	
954		metro	
955		metro	
956		metro	
957		metro	
958		metro	
959		metro	
960		metro	
961		metro	
962		metro	
963		metro	
964		metro	
965		metro	
966		metro	
967		metro	
968		metro	
969		metro	
970		metro	
971		metro	
972		metro	
973		metro	
974		metro	
975		metro	
976		metro	
977		metro	
978		metro	
979	El Salto del Ángel, la cascada más alta del mundo	metro	alta
980		metro	
981		metro	
982		metro	
983		metro	
984		metro	
985		metro	
986		metro	
987		metro	
988		metro	
989		metro	
990		metro	
991		metro	
992		metro	
993		metro	
994		metro	
995		metro	
996		metro	
997		metro	
998		metro	
999		metro	
1000	la Península itálica	kilómetro	larga
1001		metro	
